after_split_name	page_title_short	page_title_long	page_title_longer_max-80	name	name_ed	surname	tl2_abbreviation_ed	is_supplement	conflicting_abbrev	tl2_abbreviation_alt	dates	description
TL_2_Suppl_1_0128.md	Ames (Suppl.)	Ames, Oakes (Suppl.)	Ames, Oakes [std. Ames] (Suppl.)	*Ames, Oakes	Ames, Oakes	Ames	Ames	(Suppl.)			1874-1950	American botanist at Harvard, graduated 1898, M.Sc. 1899; honorary D.Sc. Washington University 1938; assistant director Botanical Garden Harvard University 1899-1909, instructor in botany 1900-1910, director of the Botanical Garden 1909-1922, asst. professor of botany 1915-1926, curator Botanical Museum 1923-1927, professor of botany 1926-1932, chairman of the Council of botanical collections and supervisor of the biological laboratory and botanical garden in Cuba as well as of the Arnold Arboretum 19271935; supervisor Botanical Museum 1927-1937, Arnold professor of botany 1932-1935; research professor of botany 1935-1941, director of the Botanical Museum 1945-1950; outstanding orchidologist and economic botanist. 
TL_2_Suppl_1_0129.md	Amici	Amici, Giovan Battista [Giambattista]	Amici, Giovan Battista [Giambattista] [std. Amici]	Amici, Giovan Battista [Giambattista]	Amici, Giovan Battista [Giambattista]	Amici	Amici				1786-1863	Italian astronomer, mathematician and botanist, professor of mathematics at Modena 1815, from 1831 director of the observatory of Florence, designed various refined optical instruments (improved microscopes), botanical physiologist, Dr. med. h.c. Florence 1860. 
TL_2_Suppl_1_0130.md	Amo (Suppl.)	Amo y Mora, Mariano del (Suppl.)	Amo y Mora, Mariano del [std. Amo] (Suppl.)	*Amo y Mora, Mariano del	Amo y Mora, Mariano del	Amo y Mora	Amo	(Suppl.)			1820-1896	Spanish botanist, professor of botany and founder of the faculty of pharmacy at the University of Granada. 
TL_2_Suppl_1_0131.md	Amoreux	Amoreux, Pierre-Joseph	Amoreux, Pierre-Joseph [std. Amoreux]	Amoreux, Pierre-Joseph	Amoreux, Pierre-Joseph	Amoreux	Amoreux				1741-1824	French botanist, zoologist and physician, educated at Beaucaire, studied medicine at Montpellier, student of A. Gouan, Dr. med. 1762, in Paris 1764-1765 meeting Lemonnier and Bernard de Jussieu, from 1765 in Montpel- lier, curator of the medical library at the Hôtel-Dieu-Saint-Éloy 1768-1795, professor of natural history at the École de médecine 1795, later, in retirement, dedicating himself to botany only. 
TL_2_Suppl_1_0132.md	Amshoff (Suppl.)	Amshoff, Gerda Jane Hillegonda (Suppl.)	Amshoff, Gerda Jane Hillegonda [std. Amshoff] (Suppl.)	*Amshoff, Gerda Jane Hillegonda	Amshoff, Gerda Jane Hillegonda	Amshoff	Amshoff	(Suppl.)			1913-1985	Dutch plant systematist, student of A.A. Pulle, Dr. phil. 1939 (see TL-2/117), scientist at the Utrecht Institute of Systematic Botany 1939-1955; with the Laboratory for Plant Taxonomy, Wageningen 1955-1978. 
TL_2_Suppl_1_0133.md	Anas.	Anastasia, Guiseppe Emilio	Anastasia, Guiseppe Emilio [std. Anas.]	Anastasia, Guiseppe Emilio	Anastasia, Guiseppe Emilio	Anastasia	Anas.				1870-1934	Italian technician at the R. Istituto Sperimente dei Tabacchi in Scafati. 
TL_2_Suppl_1_0134.md	Anders (Suppl.)	Anders, Josef (Suppl.)	Anders, Josef [std. Anders] (Suppl.)	*Anders, Josef	Anders, Josef	Anders	Anders	(Suppl.)			1863-1936	"Czech (Bohemian) botanist, especially lichenologist, educated at schools in Schima and Leitmeritz, at teacher's College Leitmeritz, teacher at Ruschowan (nr. Leitmeritz) and Barzdorf am Rollberg 1885-1887, from 1887 at Böhmisch-Leipa teaching German at a girls school until 1896, ultimately ""Fachlehrer"" at a boys school. "
TL_2_Suppl_1_0135.md	A. Andersen	Andersen, Anton	Andersen, Anton [std. A. Andersen]	Andersen, Anton,	Andersen, Anton	Andersen	A. Andersen				1856-1911	Danish botanist, teacher at a school in Havrehed 1876-1911. 
TL_2_Suppl_1_0136.md	Anderson (not a standard name)	Anderson, Andrew	Anderson, Andrew	Anderson, Andrew	Anderson, Andrew	Anderson	Anderson (not a standard name)				fl. 1813	American physician in New York, A.B. Columbia Univ. 1810, M.D. 1813. 
TL_2_Suppl_1_0137.md	C.L. Anderson (Suppl.)	Anderson, Charles Lewis (Suppl.)	Anderson, Charles Lewis [std. C.L. Anderson] (Suppl.)	*Anderson, Charles Lewis	Anderson, Charles Lewis	Anderson	C.L. Anderson	(Suppl.)			1827-1910	American practicing physician and naturalist, born at Salem, Roanoke (Virginia), moved ca. 1837 with his family to Indiana, Dr. med. 1852 at Indiana Asbury University, practiced in Hennipin Cy., Minnesota, moved to Carson City, Nevada Territory 1862, practicing 1862-1867, moved to Santa Cruz, California, again practicing medicine but devoting himself in addition to botany, zoology and geology, collecting widely, especially Algae. 
TL_2_Suppl_1_0138.md	C.W. Anderson	Anderson, Charles Wilgress	Anderson, Charles Wilgress [std. C.W. Anderson]	Anderson, Charles Wilgress	Anderson, Charles Wilgress	Anderson	C.W. Anderson				1867-?	British forestry officer in British Guyana. 
TL_2_Suppl_1_0139.md	E. Anderson	Anderson, Edgar [Shannon]	Anderson, Edgar [Shannon] [std. E. Anderson]	Anderson, Edgar [Shannon],	Anderson, Edgar [Shannon]	Anderson	E. Anderson				1897-1969	"American biosystematist and geneticist, studied at Michigan Agricultural College [h.t. State Univ.], and at Harvard University, at Bussey Institution 1919-1922, Dr. Sc. Harvard 1922, with the Missouri Botanical Garden and the Henry Shaw School of Botany, Washington University, St. Louis 1922, studied at the John Innes Institution (England) 1929-1930 with J.B.S. Haldane and R.A. Fisher, returned to St. Louis 1930, ""Arborist"" at the Arnold Arboretum, Jamaica Plain, Mass. 1930-1935; from 1935 definitively at the Missouri Botanical Garden, 1954-1957 as director. "
TL_2_Suppl_1_0140.md	L.E. Anderson	Anderson, Lewis Edward	Anderson, Lewis Edward [std. L.E. Anderson]	Anderson, Lewis Edward	Anderson, Lewis Edward	Anderson	L.E. Anderson				1912-x	American botanist (bryologist), educated at Mississippi State College B.S. 1931; studied at Duke University, 1933; University of Pennsylvania, Ph.D. 1936; assistant in botany at Duke University 1931-1935; fellow in botany at the University of Pennsylvania 1933-1935; assistant instructor id. 1935-1936; from 1936 at Duke University as instructor of botany, later professor of botany until 1983. 
TL_2_Suppl_1_0141.md	R.H. Anderson	Anderson, Robert Henry	Anderson, Robert Henry [std. R.H. Anderson]	Anderson, Robert Henry	Anderson, Robert Henry	Anderson	R.H. Anderson				1899-1969	Australian (N.S.W.) botanist, studied at Sydney University, B.Sc. Agr. 1921, on active Service 1918-1919, botanical assistant National Herbarium and Botanic Gardens Sydney 1921, id. assistant botanist 1925, botanist and curator 1936, chief botanist 1939, chief botanist and curator 1945, director from 1960-1964. 
TL_2_Suppl_1_0142.md	T. Anderson (Suppl.)	Anderson, Thomas (Suppl.)	Anderson, Thomas [std. T. Anderson] (Suppl.)	*Anderson, Thomas	Anderson, Thomas	Anderson	T. Anderson	(Suppl.)	Th. Anderson		1832-1870	Scottish botanist and physician, MD Edinburgh 1853, in the Bengal Medical Service 1854-1858, superintendent of the Calcutta Botanical Gardens, 1860/61-1868, visited as such Java 1861 to obtain Cinchona stock for Darjeeling, returned to Edinburgh 1868. 
TL_2_Suppl_1_0143.md	Ax. Anderss.	Andersson, Axel	Andersson, Axel [std. Ax. Anderss.]	Andersson, Axel,	Andersson, Axel	Andersson	Ax. Anderss.				1895-x	Swedish botanist, Ph.D. Lund 1931, lector in botany at Malmö. 
TL_2_Suppl_1_0144.md	C. Anderss.	Andersson, Carl	Andersson, Carl [std. C. Anderss.]	Andersson, Carl,	Andersson, Carl	Andersson	C. Anderss.				1818-1846	Swedish botanist, studied at Uppsala University 1838, med. cand. ib. 1843, med. lic. ib. 1845. 
TL_2_Suppl_1_0145.md	G. Andersson (Suppl.)	Andersson, [Carl Filip] Gunnar (Suppl.)	Andersson, [Carl Filip] Gunnar [std. G. Andersson] (Suppl.)	*Andersson, [Carl Filip] Gunnar	Andersson, [Carl Filip] Gunnar	Andersson	G. Andersson	(Suppl.)			1865-1928	Swedish botanist, educated at a secondary school in Ystad and the cathedral school at Lund until 1884; at the University of Lund with F.W.C. Areschoug 1884, specializing in plant anatomy, Dr. phil. Lund 1892, curator at the palaeobotanical department of the Stockholm Riksmuseum 1891-1898; lecturer in plant geography at the University of Stockholm 1893, id. for botany 1899, botanist at the Forestry Research Institute in Stockholm 1903, lecturer at the Forestry Institute 1906-1909, professor of economic geography at the Stockholm College of Commerce from 1909; travelled to Italy 1892, Spitsbergen 1898, North America 1912, Australia 1914. 
TL_2_Suppl_1_0146.md	Anderss. (Suppl.)	Andersson, Nils Johan (Suppl.)	Andersson, Nils Johan [std. Anderss.] (Suppl.)	*Andersson, Nils Johan	Andersson, Nils Johan	Andersson	Anderss.	(Suppl.)	N.J. Anderss.		1821-1880	Swedish (Kalmar) botanist, studied at the University of Uppsala 1840, Dr. phil. 1845, lecturer in botany Uppsala 1846, natural history teacher Stockholm 1847, lector in botany and zoology ib. 1858-1874, appointed (but not effected) assistant in botany at the University of Lund 1855, professor and curator of the botanical collections of the Stockholm Riksmuseum 1856-1879, succeeding J.E. Wikström; botanist on the circumnavigation of the frigat Eugenie 1851-1853. 
TL_2_Suppl_1_0147.md	O.F. Anderss.	Andersson, Oscar Frederik (also Oscar Frederic Borge)	Andersson, Oscar Frederik (also Oscar Frederic Borge) [std. O.F. Anderss.]	Andersson, Oscar Frederik (from 28 Mar 1891: Oscar Frederic Borge, q.v.)	Andersson, Oscar Frederik (also Oscar Frederic Borge)	Andersson	O.F. Anderss.				1862-1938	Swedish botanist and highschool teacher, fil. kand. Uppsala 1888, fil. lic. ib. 1893, fil. dr. ib. 1895. 
TL_2_Suppl_1_0148.md	S.A.E. Anderss.	Andersson, Sigrid Ahlfild Elisabeth	Andersson, Sigrid Ahlfild Elisabeth [std. S.A.E. Anderss.]	Andersson, Sigrid Ahlfild Elisabeth	Andersson, Sigrid Ahlfild Elisabeth	Andersson	S.A.E. Anderss.				1868-1918	Swedish botanist, daughter of N.J. Andersson, studied at the University of Stockholm 1885-1888, medical assistant at the Karolingska Institute (histological dept.) 1888, married J.G. Rissler 1895. 
TL_2_Suppl_1_0149.md	Andrae (Suppl.)	Andrä [Andrae], Carl Justus (Suppl.)	Andrä [Andrae], Carl Justus [std. Andrae] (Suppl.)	*Andrä [Andrae], Carl Justus	Andrä [Andrae], Carl Justus	Andrä [Andrae]	Andrae	(Suppl.)	Andrä		1816-1885	German palaeobotanist, grew up in Breslau (Schlesien), educated at the Friedrichs-Gymnasium 1830-1835, at the University of Breslau 1839, from 1840 studying natural sciences at the University of Halle, Dr. phil. ib. 1843, highschool teacher at Halle, habil. Halle 1848 and lecturer in mineralogy and palaeontology ib., travelled and collected in Siebenbürgen and the Banat (Roumania) 1851 and worked at Vienna until 1855; teacher at the school of mines at Saarbrücken 1857-1860, curator of the palaeontology collections at Bonn 1860, professor of palaeontology at the University 1872. 
TL_2_Suppl_1_0150.md	André (Suppl.)	André, Édouard [François] (Suppl.)	André, Édouard [François] [std. André] (Suppl.)	*André, Édouard [François]	André, Édouard [François]	André	André	(Suppl.)	Éd. André		1840-1911	French horticulturist and botanical explorer, studied botany with Decaisne at the Muséum d' Histoire naturelle, Paris; head-gardener of the municipality of Paris, teacher at the École d' Horticulture, Versailles; travelled in the Northern Andes 1875-1876. 
TL_2_Suppl_1_0151.md	Eug. André	André, Eugène	André, Eugène [std. Eug. André]	André, Eugène	André, Eugène	André	Eug. André				x-1922	French orchid collector for Sander and Sons. 
TL_2_Suppl_1_0152.md	J. Andreas	Andreas, John	Andreas, John [std. J. Andreas]	Andreas, John	Andreas, John	Andreas	J. Andreas				fl. 1899	British botanist from Ealing in London, collected on the Canary Islands 1897, Dr. phil. München 1899. 
TL_2_Suppl_1_0153.md	Andrée	Andrée, Adolf	Andrée, Adolf [std. Andrée]	Andrée, Adolf	Andrée, Adolf	Andrée	Andrée				1841-1917	German pharmacist and botanist, educated at the Gymnasium Andreanum, Hildesheim; studied in various pharmacies and, 1864-1865, at Göttingen and Berlin (1866); State-examination pharmacist Hannover 1865; in Charge of the family pharmacy in Münder a. Deister 1868-1887; id. in the Hildebrand pharmacy in Hannover 1887- 1900; director of the Hannover Botanical Garden. 
TL_2_Suppl_1_0154.md	Andres (Suppl.)	Andres, Heinrich (Suppl.)	Andres, Heinrich [std. Andres] (Suppl.)	*Andres, Heinrich	Andres, Heinrich	Andres	Andres	(Suppl.)			1883-1970	German botanist until 1910 at Hetzhof, Eifel, later in Bonn. 
TL_2_Suppl_1_0155.md	A.L. Andr.	Andrews, Albert Le Roy	Andrews, Albert Le Roy [std. A.L. Andr.]	Andrews, Albert Le Roy	Andrews, Albert Le Roy	Andrews	A.L. Andr.				1878-1961	American bryologist and philologist, studied at Williams College at Williamstown, Mass., grad. 1899, M.A. 1902; teacher in preparatory schools in Vermont and Pennsylvania 1899-1902; at Harvard 1902-1903 studying Indo-European languages, M.A. Harvard 1903, instructor in German at the University of West Virginia 1903-1904, Dartmouth College 1904-1905, studied in Europe (Berlin, Kiel, Copen- hagen, Christiania [Oslo]), Ph.D. Kiel 1908; instructor in German and Scandinavian lan- gauges at Cornell University 1909, asst. professor 1919, professor of Germanic philology 1931, chairman of the German Department 1924-1928, professor emeritus 1946, spare-time bryologist, associate editor of the Bryologist 1938-1949, section editor for bryophytes for Biological Abstracts 1927-1961. 
TL_2_Suppl_1_0156.md	C.W. Andr.	Andrews, Charles William	Andrews, Charles William [std. C.W. Andr.]	Andrews, Charles William	Andrews, Charles William	Andrews	C.W. Andr.				1866-1924	British geologist, educated at London University, assistant at the Geological Dept. Brit. Museum 1892, later assistant keeper ib., made an expedition to Christmas Island (Indian Ocean) 1897-1898. 
TL_2_Suppl_1_0157.md	E.B. Andr.	Andrews, Ebenezer Baldwin	Andrews, Ebenezer Baldwin [std. E.B. Andr.]	Andrews, Ebenezer Baldwin	Andrews, Ebenezer Baldwin	Andrews	E.B. Andr.				1821-1880	American (Connecticut born) clergyman and palaeontologist, also egg collector; graduated from Marietta College, Ohio 1842, professor of geology in Marietta College 1851-1869, from 1869 assistant geologist to the Ohio State Survey. 
TL_2_Suppl_1_0158.md	Andr. (Suppl.)	Andrews, Henry Charles (Suppl.)	Andrews, Henry Charles [std. Andr.] (Suppl.)	*Andrews, Henry Charles	Andrews, Henry Charles	Andrews	Andr.	(Suppl.)			fl. 1799-1830	British botanical painter and engraver of Knightbridge, London. 
TL_2_Suppl_1_0159.md	H.N. Andrews (Suppl.)	Andrews, Henry Nathaniel, Jr. (Suppl.)	Andrews, Henry Nathaniel, Jr. [std. H.N. Andrews] (Suppl.)	*Andrews, Henry Nathaniel, Jr.	Andrews, Henry Nathaniel, Jr.	Andrews	H.N. Andrews	(Suppl.)	H.N. Andr.		1910-x	American palaeobotanist, B.Sci. Mass. Inst. Techn. 1934, studied botany at the University of Massachusetts 1934-1935, graduate studies at Henry Shaw School of Botany, St. Louis, Missouri, 1935, M.S. ib. 1937, with H. Hamshaw Thomas in London 1938-1939, Dr. phil. St. Louis 1939, instructor in the Henry Shaw School of Botany 1940-1964, from 1948 as chairman of the Botany Dept., also associated with the Missouri Botanical Garden, head of the Botany Dept. University of Connecticut 1964-1975. 
TL_2_Suppl_1_0160.md	L. Andr.	Andrews, Luman	Andrews, Luman [std. L. Andr.]	Andrews, Luman	Andrews, Luman	Andrews	L. Andr.				1839-1921	American botanist at Southington, Connecticut. 
TL_2_Suppl_1_0161.md	Andrzejovski (Suppl.)	Andrzejowski, Antoni Lukianowicz (Suppl.)	Andrzejowski, Antoni Lukianowicz [std. Andrzejovski] (Suppl.)	*Andrzejowski, Antoni Lukianowicz	Andrzejowski, Antoni Lukianowicz	Andrzejowski	Andrzejovski	(Suppl.)			1785-1868	Polish naturalist, originally from Wolhynia, studied with W.S.J.G. von Besser at Kiew, Student of the flora of the Ukraine, specialized in Cruciferae and the living and fossil fauna of Southern Russia. 
TL_2_Suppl_1_0162.md	Angreville	Angreville, Jacques Étienne d	Angreville, Jacques Étienne d [std. Angreville]	Angreville, Jacques Étienne d'	Angreville, Jacques Étienne d	Angreville	Angreville				1808-1867	Swiss botanist at Saint-Maurice, Valais. 
TL_2_Suppl_1_0163.md	Ångstr. (Suppl.)	Ångström, Johan (Suppl.)	Ångström, Johan [std. Ångstr.] (Suppl.)	*Ångström, Johan	Ångström, Johan	Ångström	Ångstr.	(Suppl.)			1813-1879	Swedish physician and bryologist, studied at Uppsala 1835, Dr. med. ib. 1852, kir. mag. (surgeon) 1853; provincial physician at Lycksele 1853, from 1868 id. at Örnsköldsvik, collected widely in Sweden and Norway; id. in Lappland 1862, 1863, 1874, id. in Finland and Karelia (Russia). 
TL_2_Suppl_1_0164.md	Ansberque	Ansberque, Edme	Ansberque, Edme [std. Ansberque]	Ansberque, Edme	Ansberque, Edme	Ansberque	Ansberque				1828-1905	French military veterinarian and botanist at Lyon, ultimately at Besançon. 
TL_2_Suppl_1_0165.md	Anselmino	Anselmino, Elisabeth [Bertha Petronella]	Anselmino, Elisabeth [Bertha Petronella] [std. Anselmino]	Anselmino, Elisabeth [Bertha Petronella]	Anselmino, Elisabeth [Bertha Petronella]	Anselmino	Anselmino				1905-x	"German (Prussian) pharmacist; educated at the ""Kolmorgenschen Privatschule"" in Berlin-Westend and the Kaiserin Auguste Victoria Schule, Berlin-Steglitz 1913-1926; practicing in the Fichtenberg-Apotheke (Ste- glitz) 1926-1928, first pharmacy examination 1928, assistant in apharmacy in Hann.-Münden 1928-1929, university study pharmacy at Berlin University 1929-1931, State examination pharmacy 1931, assistant botanist at the Botanical Museum Berlin-Dahlem, Dr. phil. Univ. Berlin 1933. "
TL_2_Suppl_1_0166.md	Anslijn	Anslijn Nie.zn, Nicolaas	Anslijn Nie.zn, Nicolaas [std. Anslijn]	Anslijn Nie.zn, Nicolaas	Anslijn Nie.zn, Nicolaas	Anslijn Nie.zn	Anslijn				1777-1838	Dutch teacher, botanist and entomologist, State teacher's examination Leiden 1803, teacher at an elementary school at Amsterdam 18031807, head-teacher at the municipial school for the poor 1807-1819, private teacher 1819- 1834, from 1834-1838 residing in Alkmaar, prolific author of botanical writings as well as popular education, historical and theological publications. 
TL_2_Suppl_1_0167.md	Antevs	Antevs, Ernst Valdemar	Antevs, Ernst Valdemar [std. Antevs]	Antevs, Ernst Valdemar	Antevs, Ernst Valdemar	Antevs	Antevs				1888-?	Swedish palaeobotanist, studied at a secondary school in Skara, from 1909 at the University of Stockholm, fil. mag. 1912, fil. lic. 1916, Dr. fil. 1917, lecturer in geology from 1917. 
TL_2_Suppl_1_0168.md	Antoine (Suppl.)	Antoine, Franz Jr. (Suppl.)	Antoine, Franz Jr. [std. Antoine] (Suppl.)	*Antoine, Franz Jr.	Antoine, Franz Jr.	Antoine	Antoine	(Suppl.)			1815-1886	Austrian horticulturist, director of the Schönbrunn Gardens near Vienna from 1865-1886, son of Franz de Paulo Antoine(1768-1834). 
TL_2_Suppl_1_0169.md	Antommarchi	Antommarchi, François [Francesco]	Antommarchi, François [Francesco] [std. Antommarchi]	Antommarchi, François [Francesco]	Antommarchi, François [Francesco]	Antommarchi	Antommarchi				1780-1838	Corsican physician, sometime professor of anatomy at Firenze, private physician to Napoleon Bonaparte on St. Helena from 1819, ultimately in Cuba. 
TL_2_Suppl_1_0170.md	Antz (Suppl.)	Antz, Carl [Karl] Cäsar (Suppl.)	Antz, Carl [Karl] Cäsar [std. Antz] (Suppl.)	*Antz, Carl [Karl] Cäsar	Antz, Carl [Karl] Cäsar	Antz	Antz	(Suppl.)			1805-1859	"German (Mosel) military physician and botanist ultimately ""Bataillonsarzt beim 2. Jägerbataillon"", Greifswald. "
TL_2_Suppl_1_0171.md	Anzi (Suppl.)	Anzi, Martino (Suppl.)	Anzi, Martino [std. Anzi] (Suppl.)	*Anzi, Martino	Anzi, Martino	Anzi	Anzi	(Suppl.)			1812-1883	"Italian cryptogamist and canon at Como, editor of various important series of cryptogams exsiccatae, educated at the Bormio gymnasium, ordained priest 1835 at the episcopal see at Como, subsequently ""canonicus ecclesiae cathedr. Novo-Comensis"". "
TL_2_Suppl_1_0172.md	A.C. Apgar	Apgar, Austin Craig	Apgar, Austin Craig [std. A.C. Apgar]	Apgar, Austin Craig	Apgar, Austin Craig	Apgar	A.C. Apgar				1838-1908	American (New Jersey) botanist. 
TL_2_Suppl_1_0173.md	E.A. Apgar	Apgar, Ellis Ayres	Apgar, Ellis Ayres [std. E.A. Apgar]	Apgar, Ellis Ayres	Apgar, Ellis Ayres	Apgar	E.A. Apgar				1835-1905	American botanist and teacher, studied at Rutgers University 1866, later State Superintendent of public instruction in New Jersey. 
TL_2_Suppl_1_0174.md	Aphonin	Aphonin, Matheus [Matwey]	Aphonin, Matheus [Matwey] [std. Aphonin]	Aphonin, Matheus [Matwey]	Aphonin, Matheus [Matwey]	Aphonin	Aphonin				1740post 1777	Russian Student of Linnaeus 1761-1769, Dr. med. Uppsala 1766, professor of natural history in Moscow 1769-1777. 
TL_2_Suppl_1_0175.md	O. Appel	Appel, [Friedrich Carl Louis] Otto	Appel, [Friedrich Carl Louis] Otto [std. O. Appel]	Appel, [Friedrich Carl Louis] Otto	Appel, [Friedrich Carl Louis] Otto	Appel	O. Appel				1867-1952	German (Franconian) botanist, trained to become a pharmacist, Student at the Löwen-Apotheke, Weimar, id. in Schaffhausen (Switzerland) ca. 1891, id. in Breslau (Silesia), in charge of a pharmacy at Sonnenburg (Brandenburg), studied botany with Julius Sachs at Würzburg, Dr. phil. ib. 1897, assistant bacteriologist at Königsberg (E. Prussia), from 1899 id. at the Biologische Abtheilung des Kaiserlichen Gesundheitsamtes, Berlin 1899, director 1903, Regierungsrat 1913, specialized in the phytopathology of potatoes, also director of the Forschungsinstitut für Kartoffelbau, director of the Biologische Reichsanstalt Berlin 1920, hon. professor at the Landwirtschaftliche Hochschule in Berlin. 
TL_2_Suppl_1_0176.md	Appl	Appl, Johann	Appl, Johann [std. Appl]	Appl, Johann	Appl, Johann	Appl	Appl				fl. 1913-1941	Moravian botanist at Brno [Brünn]. 
TL_2_Suppl_1_0177.md	Applegate	Applegate, Elmer Ivan	Applegate, Elmer Ivan [std. Applegate]	Applegate, Elmer Ivan	Applegate, Elmer Ivan	Applegate	Applegate				1867-1949	American rancher and ranger botanist, at Stanford University 1895, until to circa 1928 rancher, farmer and businessman in Klamath Falls, Oregon, ranger naturalist at Crater Lake National Park and other protected areas in California 1934-1938, at Stanford hon. acting curator of the Dudley Herbarium 1928-1934 and 19381949. 
TL_2_Suppl_1_0178.md	Appun	Appun, Carl Ferdinand	Appun, Carl Ferdinand [std. Appun]	Appun, Carl Ferdinand	Appun, Carl Ferdinand	Appun	Appun				1820-1872	German (Bunzlau born) traveller and botanical collector, collected in Venezuela and the Guyanas (mainly in British Guyana 1863-1867). 
TL_2_Suppl_1_0179.md	A. Arber (Suppl.)	Arber, Agnes (née Robertson) (Suppl.)	Arber, Agnes (née Robertson) [std. A. Arber] (Suppl.)	*Arber, Agnes (née Robertson)	Arber, Agnes (née Robertson)	Arber	A. Arber	(Suppl.)			1879-1960	British botanist and philosopher, educated at the North London Collegiate School for girls 1887-1897; studied at University College, London 1897-1899, and Newnham College, Cambridge 1899-1902, research assistant to Ethel Sargent at Reigate 1902-1903, continued her research at University College 1903-1909, lecturer in botany ib. 1908-1909, D.Sc. Univ. London 1905, married E.A.N. Arber 1909, private scientist in Cambridge 1909-1960, research fellow Newnham College, Cambridge 1912-1913, 1918-1920. 
TL_2_Suppl_1_0180.md	E. Arber (Suppl.)	Arber, Edward Alexander Newell (Suppl.)	Arber, Edward Alexander Newell [std. E. Arber] (Suppl.)	*Arber, Edward Alexander Newell	Arber, Edward Alexander Newell	Arber	E. Arber	(Suppl.)			1870-1918	British palaeobotanist, stayed at Davos at the age of 15 for health reasons, educated at King Edward's School, Birmingham, at Mason's College and University College London; gardening in the Royal Horticultural Society's gardens at Chiswick 1893-1894; to Trinity College Cambridge 1895, studying botany; demonstrator on palaeobotany ib., working at the Sedgwick Museum until 1918; married Agnes Robertson [Arber]. 
TL_2_Suppl_1_0181.md	Arbois	Arbois de Jubainville, Marie-Alexandre	Arbois de Jubainville, Marie-Alexandre [std. Arbois]	Arbois de Jubainville, Marie-Alexandre	Arbois de Jubainville, Marie-Alexandre	Arbois de Jubainville	Arbois				1835-1916	"French (Lorraine) botanist and phytopathologist, studied at the École forestière, Nancy 1855-1857, at Épinal 1857-1858 for training purposes, ""Garde général"" at Vaucouleurs, ""inspecteur adjoint"" at Neufchateau 1879-1886, ""conservateur"" at Niort 1886-1892; prolific writer on phytopathology. "
TL_2_Suppl_1_0182.md	Arcang. (Suppl.)	Arcangeli, Giovanni (Suppl.)	Arcangeli, Giovanni [std. Arcang.] (Suppl.)	*Arcangeli, Giovanni	Arcangeli, Giovanni	Arcangeli	Arcang.	(Suppl.)			1840-1921	Italian botanist, director a.i. botanical garden of Firenze 1877-1878, director of the botanical garden of the University of Torino 1879-1883, id. of Pisa 1883-1915. 
TL_2_Suppl_1_0183.md	Archbold	Archbold, Andrea B.	Archbold, Andrea B. [std. Archbold]	Archbold, Andrea B.	Archbold, Andrea B.	Archbold	Archbold				1829-1881	American born physician and botanist, studied medicine and natural sciences at Paris, later some time at Porto Rico, ultimately in Italy (Florence). 
TL_2_Suppl_1_0184.md	T.C. Archer	Archer, Thomas Croxen	Archer, Thomas Croxen [std. T.C. Archer]	Archer, Thomas Croxen	Archer, Thomas Croxen	Archer	T.C. Archer				1817-1885	"British surgeon and botanist, with Import Department Liverpool Custom House 1841-1860, formed economic collections of Liverpool imports for the Great Exhibition [London] 1851, also for Royal Institution, Liverpool; professor of botany Queen's College Liverpool 1857-1860, director Edinburgh Museum of Science and Art 1860-1885, president Bot. Soc. Edinburgh 1862; commissioner at various international ""Exhibitions"". "
TL_2_Suppl_1_0185.md	W. Archer (Suppl.)	Archer, William (of Dublin) (Suppl.)	Archer, William (of Dublin) [std. W. Archer] (Suppl.)	*Archer, William (of Dublin)	Archer, William (of Dublin)	Archer	W. Archer	(Suppl.)	W. Archer, Dubl.		1830-1897	Irish botanist and microscopist, librarian, Royal Dublin Society 1876, id. to National Library of Ireland 1877-1895. 
TL_2_Suppl_1_0186.md	W.A. Archer	Archer, William Andrew	Archer, William Andrew [std. W.A. Archer]	Archer, William Andrew	Archer, William Andrew	Archer	W.A. Archer				1894-1973	American botanist and plant collector at the United States Department of Agriculture; studied at New Mexico State College and the University of Michigan, Ph.D. ib. 1926, instructor at Oberlin College 1925-1926, assistant plant pathologist U.S.D.A. 1926-1929, head dept. botany Escuela de Agricoltura, Medellin, Colombia 1929-1931, Div. Forest Pathology U.S.D.A. 1931-1934, formally employed as explorer for U.S.D.A. 19341937, plant taxonomist and curator with the National Arboretum U.S.A. 1938-1964; in retirement working in the Botany Dept. Smithsonian Institution 
TL_2_Suppl_1_0187.md	Arckenhausen	Akenhausen, Johann Christian Peter	Akenhausen, Johann Christian Peter [std. Arckenhausen]	Akenhausen, Johann Christian Peter	Akenhausen, Johann Christian Peter	Ckenhausen	Arckenhausen				1784-1855	German (Goslar, Freie Reichsstadt, later Prussian) botanical artist, working for C.L. Blume 18291832. 
TL_2_Suppl_1_0188.md	Ardène	Ardène, Jean Paul de Rome d	Ardène, Jean Paul de Rome d [std. Ardène]	Ardène, Jean Paul de Rome d'	Ardène, Jean Paul de Rome d	Ardène	Ardène				1689-1769	"French clergyman and botanist, ""prêtre de l'Oratoire de France"" and ""supérieur"" of his college, in retirement from ca. 1750 for health reasons, at the Château d'Ardène near Sistéron, dedicating himself to botany. "
