irn	organization	code	division	department	cites	specimenTotal	currentStatus	dateFounded	taxonomicCoverage	geography	address	contact	location	collectionsSummary	incorporatedHerbaria	importantCollectors	notes	dateModified
124299	Clifton College	CFN	Clifton College Natural History Society	Biology Department		0	Inactive				{'physicalStreet': '', 'physicalCity': 'Bristol', 'physicalState': 'England', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': '', 'postalCity': 'Clifton, Avon', 'postalState': 'England', 'postalZipCode': '', 'postalCountry': 'U.K.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 53.001465, 'lon': -1.613048}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	CFN transferred to BRISTM.	2017-09-12
126882	University of Virginia	VA				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Charlottesville', 'physicalState': 'Virginia', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '', 'postalCity': 'Charlottesville', 'postalState': 'Virginia', 'postalZipCode': '22904', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 38.033531, 'lon': -78.513687}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	VA (3000 specimens) transferred to Mountain Lake Biological Station, Pembroke, Virginia 24136.	2017-09-12
124187	Canterbury Museum	CANTY				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Christchurch', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'New Zealand', 'postalStreet': '', 'postalCity': 'Christchurch', 'postalState': '', 'postalZipCode': '', 'postalCountry': 'New Zealand'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': -43.527905, 'lon': 172.633545}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	CANTY transferred to CHR in 1975.	2017-09-12
126730	University of Miami	BUS		Biology Department		0	Inactive			Ecuador; southern Florida.	{'physicalStreet': '', 'physicalCity': 'Coral Gables', 'physicalState': 'Florida', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': 'P.O. Box 249118', 'postalCity': 'Coral Gables', 'postalState': 'Florida', 'postalZipCode': '33124', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 25.738251, 'lon': -80.272949}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	['W. M. Buswell']	BUS (15 000 specimens) transferred to FTG in 1999.	2017-09-12
126567	University College	CRK		Plant Science Department		0	Inactive				{'physicalStreet': '', 'physicalCity': 'Cork', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Ireland', 'postalStreet': 'Fota', 'postalCity': 'Cork', 'postalState': '', 'postalZipCode': '', 'postalCountry': 'Ireland'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 51.899471, 'lon': -8.29718}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	CRK Australian collections transferred to TCD. Remainder of CRK (vascular plants) transferred to DBN.	2017-09-12
124273	Chipstead Valley Primary School	CYN	Croydon Natural History and Scientific Society Limited			0	Inactive				{'physicalStreet': '', 'physicalCity': 'Coulsdon', 'physicalState': 'England', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': 'Chipstead Valley Road', 'postalCity': 'Coulsdon, Surrey', 'postalState': 'England', 'postalZipCode': '', 'postalCountry': 'U.K.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 51.37672, 'lon': -0.154487}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	CYN on loan to SLBI.	2017-09-12
126967	Wabash College	WAB		Biological Sciences Department		0	Inactive				{'physicalStreet': '', 'physicalCity': 'Crawfordsville', 'physicalState': 'Indiana', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '', 'postalCity': 'Crawfordsville', 'postalState': 'Indiana', 'postalZipCode': '47933', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 40.045177, 'lon': -86.893921}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	WAB (17 442 specimens) transferred to NY in 1987.	2017-09-12
124372	Darlington Museum	DGN	Borough of Darlington			0	Inactive				{'physicalStreet': '', 'physicalCity': 'Darlington', 'physicalState': 'England', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': 'Tubwell Row', 'postalCity': 'Darlington, Durham', 'postalState': 'England', 'postalZipCode': '', 'postalCountry': 'U.K.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 54.655045, 'lon': -1.571165}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	DGN no longer exists.	2017-09-12
125982	Société d'Agriculture Sciences et Arts	DO				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Douai', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'France', 'postalStreet': '', 'postalCity': 'Douai', 'postalState': '', 'postalZipCode': '', 'postalCountry': 'France'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 50.367104, 'lon': 3.07458}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	DO no longer exists.	2017-09-12
124434	Dumfries and Galloway Natural History and Antiquarian Society	DFS				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Dumfries', 'physicalState': 'Scotland', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': '', 'postalCity': 'Dumfries', 'postalState': 'Scotland', 'postalZipCode': '', 'postalCountry': 'U.K.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 55.066669, 'lon': -3.55}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	DFS transferred to DFSM.	2017-09-12
124087	Botanical Society of Edinburgh	EBH				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Edinburgh', 'physicalState': 'Scotland', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': '', 'postalCity': 'Edinburgh', 'postalState': 'Scotland', 'postalZipCode': '', 'postalCountry': 'U.K.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 55.950001, 'lon': -3.2}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	EBH transferred to E.	2017-09-12
124483	Epsom College Museum	EPM				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Epsom', 'physicalState': 'England', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': '', 'postalCity': 'Epsom, Surrey', 'postalState': 'England', 'postalZipCode': '', 'postalCountry': 'U.K.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 51.316669, 'lon': -0.26667}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	EPM transferred to LTN (F. Sebright collections) and LANC (remainder of EPM, including A. E. Ellis).	2017-09-12
125562	Northwestern University	NWU		Botany Department		0	Inactive				{'physicalStreet': '', 'physicalCity': 'Evanston', 'physicalState': 'Illinois', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '', 'postalCity': 'Evanston', 'postalState': 'Illinois', 'postalZipCode': '', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 42.055321, 'lon': -87.723511}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	NWU transferred to F.	2017-09-12
124618	Georgia Agricultural Experiment Station	GAES				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Experiment', 'physicalState': 'Georgia', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '', 'postalCity': 'Experiment', 'postalState': 'Georgia', 'postalZipCode': '', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 33.270092, 'lon': -84.280235}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	GAES transferred to GA.	2017-09-12
123955	Andersonian Naturalists' Society	GLW				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Glasgow', 'physicalState': 'Scotland', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': '', 'postalCity': 'Glasgow', 'postalState': 'Scotland', 'postalZipCode': '', 'postalCountry': 'U.K.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 55.84996, 'lon': -4.276075}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	GLW transferred to GLAM in 1903.	2017-09-12
125759	Rappahannock Community College	GLEN	Middle Peninsula and Northern Neck Plant Classification Depository			0	Inactive				{'physicalStreet': '', 'physicalCity': 'Glenns', 'physicalState': 'Virginia', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': 'South Campus', 'postalCity': 'Glenns', 'postalState': 'Virginia', 'postalZipCode': '23149', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 37.578159, 'lon': -76.607628}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	GLEN no longer exists.	2017-09-12
124401	DePauw University	DPU		Botany and Bacteriology Department		0	Inactive				{'physicalStreet': '', 'physicalCity': 'Greencastle', 'physicalState': 'Indiana', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '', 'postalCity': 'Greencastle', 'postalState': 'Indiana', 'postalZipCode': '', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 0, 'lon': 0}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	DPU (127 119 specimens) transferred to NY in 1987.	2017-09-12
124890	Instituto de Biología	HABE		Departamento de Ecología		0	Inactive				{'physicalStreet': '', 'physicalCity': 'Habana (Havana)', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Cuba', 'postalStreet': '', 'postalCity': 'Habana', 'postalState': '', 'postalZipCode': '', 'postalCountry': 'Cuba'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 22.525696, 'lon': -79.873199}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	HABE (8000 specimens) transferred to HAC.	2017-09-12
124305	Colegio de La Salle	LS				0	Inactive			Cuba; Antilles.	{'physicalStreet': '', 'physicalCity': 'Habana (Havana)', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Cuba', 'postalStreet': '', 'postalCity': 'Habana', 'postalState': '', 'postalZipCode': '', 'postalCountry': 'Cuba'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 22.525696, 'lon': -79.873199}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	LS (50 000 specimens) transferred to HAC.	2017-09-12
124519	Fine Arts Museum	HUL	Hull Literary and Philosophical Society			0	Inactive				{'physicalStreet': '', 'physicalCity': 'Kingston upon Hull', 'physicalState': 'England', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': 'Albion Street', 'postalCity': 'Hull, Humberside', 'postalState': 'England', 'postalZipCode': '', 'postalCountry': 'U.K.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 51.636921, 'lon': -0.042151}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	HUL no longer exists.	2017-09-12
124016	Bankfield Museum and Art Gallery	HFX	Metropolitan Borough of Calderdale			0	Inactive				{'physicalStreet': '', 'physicalCity': 'Halifax', 'physicalState': 'England', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': 'Ackroyd Park, Haley Hill', 'postalCity': 'Halifax, West Yorkshire', 'postalState': 'England', 'postalZipCode': '', 'postalCountry': 'U.K.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 53.716671, 'lon': -1.85}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	HFX transferred to LES.	2017-09-12
126676	University of Houston	HOU				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Houston', 'physicalState': 'Texas', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '', 'postalCity': 'Houston', 'postalState': 'Texas', 'postalZipCode': '', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 29.721571, 'lon': -95.342952}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	HOU no longer exists.	2017-09-12
124771	Houston Museum of Natural Science	HPM				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Houston', 'physicalState': 'Texas', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '', 'postalCity': 'Houston', 'postalState': 'Texas', 'postalZipCode': '77030', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 29.721599, 'lon': -95.389526}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]		2017-09-12
124356	Crispus Attucks High School	CAHS				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Indianapolis', 'physicalState': 'Indiana', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '', 'postalCity': 'Indianapolis', 'postalState': 'Indiana', 'postalZipCode': '46200', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 39.77491, 'lon': -86.165855}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	CAHS no longer exists.	2017-09-12
124343	Cornell University	CU				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Ithaca', 'physicalState': 'New York', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '', 'postalCity': 'Ithaca', 'postalState': 'New York', 'postalZipCode': '14853-4301', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 42.447716, 'lon': -76.48217}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	CU (323 852 specimens) incorporated in BH in 1977.	2017-09-12
123990	Arnold Arboretum, Harvard University	AAH				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Jamaica Plain', 'physicalState': 'Massachusetts', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': 'The Arborway', 'postalCity': 'Jamaica Plain', 'postalState': 'Massachusetts', 'postalZipCode': '02130', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 42.302269, 'lon': -71.125435}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	AAH incorporated in A. Abbreviation AAH no longer used.	2017-09-12
124298	Cliffe Castle Art Gallery and Museum	KGY	Borough of Keighley			0	Inactive				{'physicalStreet': '', 'physicalCity': 'Keighley', 'physicalState': 'England', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': 'The Castle', 'postalCity': 'Keighley, West Yorkshire', 'postalState': 'England', 'postalZipCode': '', 'postalCountry': 'U.K.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 53.867908, 'lon': -1.90664}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	KGY transferred to CMM in 1974.	2017-09-12
126202	Tweedside Physical and Antiquarian Society Museum	KSO				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Kelso', 'physicalState': 'Scotland', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': '', 'postalCity': 'Kelso, Borders Region', 'postalState': 'Scotland', 'postalZipCode': '', 'postalCountry': 'U.K.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 55.598141, 'lon': -2.43382}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	KSO transferred to E.	2017-09-12
123947	American Plant Life Society	TRA				0	Inactive				{'physicalStreet': '', 'physicalCity': 'La Jolla', 'physicalState': 'California', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '2678 Prestwick Court', 'postalCity': 'La Jolla', 'postalState': 'California', 'postalZipCode': '92037', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 32.861759, 'lon': -117.246872}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	TRA (3000 specimens) transferred to MO in 1984. Specimens from Traub Herbarium should be cited as TRA. Contact James C. Solomon, jim.solomon@mobot.org	2017-09-12
124602	Fürstin-Eugenie-Institut für Arzneipflanzenforschung	ERZ				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Lindich', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Germany', 'postalStreet': '', 'postalCity': 'Schloss Lindich', 'postalState': '', 'postalZipCode': '', 'postalCountry': 'Germany'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 48.363558, 'lon': 8.92215}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	ERZ (100 000 specimens) transferred to TUB.	2017-09-12
125275	Missão de Estudos Agronómicos do Ultramar	LISM				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Lisboa', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Portugal', 'postalStreet': '', 'postalCity': 'Lisboa', 'postalState': '', 'postalZipCode': '', 'postalCountry': 'Portugal'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 38.760994, 'lon': -9.223078}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	LISM transferred to LISC.	2017-09-12
